beat_timing,generate_A_type,A_generate_side,A_generate_amount,generate_B_type,B_generate_side,B_generate_amount,,,,,,,
92 ,false,,,TRUE,3,1,,,,,,,
93 ,false,,,TRUE,4,1,,,,,,,
94 ,false,,,false,,,,,,,,,
95 ,false,,,false,,,,,,,,,
96 ,false,,,false,,,,,,,,,
97 ,false,,,false,,,,,,,,,
98 ,false,,,TRUE,1,1,,,,,,,
99 ,false,,,TRUE,2,1,,,,,,,
100 ,false,,,TRUE,3,1,,,,,,,
101 ,false,,,TRUE,4,1,,,,,,,
102 ,false,,,false,,,,,,,,,
103 ,false,,,false,,,,,,,,,
104 ,false,,,false,,,,,,,,,
105 ,false,,,false,,,,,,,,,
106 ,false,,,TRUE,1,1,,,,,,,
107 ,false,,,TRUE,2,1,,,,,,,
108 ,false,,,TRUE,3,1,,,,,,,
109 ,false,,,TRUE,4,1,,,,,,,
110 ,TRUE,1,1,false,,,,,,,,,
111 ,false,,,false,,,,,,,,,
112 ,TRUE,2,1,false,,,,,,,,,
113 ,false,,,false,,,,,,,,,
114 ,TRUE,3,1,false,,,,,,,,,
115 ,false,,,false,,,,,,,,,
116 ,TRUE,4,1,false,,,,,,,,,
117 ,false,,,false,,,,,,,,,
118 ,TRUE,1,1,false,,,,,,,,,
119 ,false,,,false,,,,,,,,,
120 ,TRUE,2,1,false,,,,,,,,,
121 ,false,,,false,,,,,,,,,
122 ,TRUE,3,1,false,,,,,,,,,
123 ,false,,,false,,,,,,,,,
124 ,TRUE,4,1,false,,,,,,,,,
125 ,false,,,false,,,,,,,,,
126 ,TRUE,1,1,false,,,,,,,,,
127 ,false,,,false,,,,,,,,,
128 ,TRUE,2,1,false,,,,,,,,,
129 ,false,,,false,,,,,,,,,
130 ,TRUE,3,1,false,,,,,,,,,
131 ,false,,,false,,,,,,,,,
132 ,TRUE,4,1,false,,,,,,,,,
133 ,false,,,false,,,,,,,,,
134 ,TRUE,1,1,false,,,,,,,,,
135 ,false,,,false,,,,,,,,,
136 ,TRUE,2,1,false,,,,,,,,,
137 ,false,,,false,,,,,,,,,
138 ,TRUE,3,1,false,,,,,,,,,
139 ,false,,,false,,,,,,,,,
140 ,TRUE,4,1,false,,,,,,,,,
141 ,false,,,false,,,,,,,,,
142 ,TRUE,1,1,false,,,,,,,,,
143 ,false,,,false,,,,,,,,,
144 ,TRUE,2,1,false,,,,,,,,,
145 ,false,,,false,,,,,,,,,
146 ,TRUE,3,1,false,,,,,,,,,
147 ,false,,,false,,,,,,,,,
148 ,TRUE,4,1,false,,,,,,,,,
149 ,false,,,false,,,,,,,,,
150 ,TRUE,1234,1,TRUE,1,1,,,,,,,
151 ,false,,,TRUE,2,1,,,,,,,
152 ,false,,,TRUE,3,1,,,,,,,
153 ,false,,,TRUE,4,1,,,,,,,
154 ,TRUE,1234,1,false,,,,,,,,,
155 ,false,,,false,,,,,,,,,
156 ,false,,,false,,,,,,,,,
157 ,false,,,false,,,,,,,,,
158 ,TRUE,1234,1,TRUE,1,1,,,,,,,
159 ,false,,,TRUE,2,1,,,,,,,
160 ,false,,,TRUE,3,1,,,,,,,
161 ,false,,,TRUE,4,1,,,,,,,
162 ,false,,,false,,,,,,,,,
163 ,false,,,false,,,,,,,,,
164 ,false,,,false,,,,,,,,,
165 ,TRUE,1234,1,TRUE,1,1,,,,,,,
166 ,false,,,TRUE,2,1,,,,,,,
167 ,false,,,TRUE,3,1,,,,,,,
168 ,false,,,TRUE,4,1,,,,,,,
169 ,TRUE,1,1,false,,,,,,,,,
170 ,false,,,false,,,,,,,,,
171 ,TRUE,2,1,false,,,,,,,,,
172 ,false,,,false,,,,,,,,,
173 ,TRUE,3,1,false,,,,,,,,,
174 ,false,,,false,,,,,,,,,
175 ,TRUE,4,1,false,,,,,,,,,
176 ,false,,,false,,,,,,,,,
177 ,TRUE,1,1,false,,,,,,,,,
178 ,false,,,TRUE,1,1,,,,,,,
179 ,TRUE,2,1,false,,,,,,,,,
180 ,false,,,TRUE,2,1,,,,,,,
181 ,TRUE,3,1,false,,,,,,,,,
182 ,false,,,TRUE,3,1,,,,,,,
183 ,TRUE,4,1,false,,,,,,,,,
184 ,false,,,TRUE,4,1,,,,,,,
185 ,false,,,false,,,,,,,,,
186 ,TRUE,1,1,false,,,,,,,,,
187 ,false,,,TRUE,1,1,,,,,,,
188 ,TRUE,2,1,false,,,,,,,,,
189 ,false,,,TRUE,2,1,,,,,,,
190 ,TRUE,3,1,false,,,,,,,,,
191 ,false,,,TRUE,3,1,,,,,,,
192 ,TRUE,4,1,false,,,,,,,,,
193 ,false,,,TRUE,4,1,,,,,,,
194 ,false,,,false,,,,,,,,,
195 ,TRUE,1,1,false,,,,,,,,,
196 ,false,,,false,,,,,,,,,
197 ,TRUE,2,1,false,,,,,,,,,
198 ,false,,,false,,,,,,,,,
199 ,TRUE,3,1,false,,,,,,,,,
200 ,false,,,false,,,,,,,,,
201 ,TRUE,4,1,false,,,,,,,,,
202 ,false,,,false,,,,,,,,,
203 ,TRUE,1,2,false,,,,,,,,,
204 ,false,,,false,,,,,,,,,
205 ,TRUE,2,2,false,,,,,,,,,
206 ,false,,,false,,,,,,,,,
207 ,TRUE,3,2,false,,,,,,,,,
208 ,false,,,false,,,,,,,,,
209 ,TRUE,4,2,false,,,,,,,,,
210 ,false,,,false,,,,,,,,,
211 ,TRUE,1,2,false,,,,,,,,,
212 ,false,,,false,,,,,,,,,
213 ,TRUE,2,2,false,,,,,,,,,
214 ,false,,,false,,,,,,,,,
215 ,TRUE,3,2,false,,,,,,,,,
216 ,false,,,false,,,,,,,,,
217 ,TRUE,4,2,false,,,,,,,,,
218 ,false,,,TRUE,1,1,,,,,,,
219 ,false,,,false,,,,,,,,,
220 ,false,,,TRUE,2,1,,,,,,,
221 ,false,,,false,,,,,,,,,
222 ,false,,,TRUE,3,1,,,,,,,
223 ,false,,,false,,,,,,,,,
224 ,false,,,TRUE,4,1,,,,,,,
225 ,false,,,false,,,,,,,,,
226 ,false,,,false,,,,,,,,,
227 ,false,,,false,,,,,,,,,
228 ,false,,,TRUE,1,1,,,,,,,
229 ,false,,,false,,,,,,,,,
230 ,false,,,false,,,,,,,,,
231 ,false,,,false,,,,,,,,,
232 ,false,,,TRUE,2,1,,,,,,,
233 ,false,,,false,,,,,,,,,
234 ,false,,,false,,,,,,,,,
235 ,false,,,false,,,,,,,,,
236 ,false,,,TRUE,3,1,,,,,,,
237 ,false,,,false,,,,,,,,,
238 ,false,,,false,,,,,,,,,
239 ,false,,,false,,,,,,,,,
240 ,false,,,TRUE,4,1,,,,,,,
241 ,false,,,false,,,,,,,,,
242 ,false,,,false,,,,,,,,,
243 ,false,,,false,,,,,,,,,
244 ,false,,,TRUE,1,2,,,,,,,
245 ,false,,,false,,,,,,,,,
246 ,false,,,false,,,,,,,,,
247 ,false,,,false,,,,,,,,,
248 ,false,,,TRUE,2,2,,,,,,,
249 ,false,,,false,,,,,,,,,
250 ,false,,,false,,,,,,,,,
251 ,false,,,false,,,,,,,,,
252 ,false,,,TRUE,3,2,,,,,,,
253 ,false,,,false,,,,,,,,,
254 ,false,,,false,,,,,,,,,
255 ,false,,,false,,,,,,,,,
256 ,false,,,TRUE,4,2,,,,,,,
257 ,false,,,false,,,,,,,,,
258 ,false,,,false,,,,,,,,,
259 ,false,,,false,,,,,,,,,
260 ,false,,,TRUE,1,3,,,,,,,
261 ,false,,,false,,,,,,,,,
262 ,false,,,false,,,,,,,,,
263 ,false,,,false,,,,,,,,,
264 ,false,,,TRUE,2,3,,,,,,,
265 ,false,,,false,,,,,,,,,
266 ,false,,,false,,,,,,,,,
267 ,false,,,false,,,,,,,,,
268 ,false,,,TRUE,3,3,,,,,,,
269 ,false,,,false,,,,,,,,,
270 ,false,,,false,,,,,,,,,
271 ,false,,,false,,,,,,,,,
272 ,false,,,TRUE,4,3,,,,,,,
273 ,false,,,false,,,,,,,,,
274 ,false,,,false,,,,,,,,,
275 ,false,,,false,,,,,,,,,
276 ,false,,,false,,,,,,,,,
277 ,false,,,false,,,,,,,,,
278 ,false,,,false,,,,,,,,,
279 ,false,,,TRUE,1,4,,,,,,,
280 ,false,,,false,,,,,,,,,
281 ,false,,,false,,,,,,,,,
282 ,false,,,false,,,,,,,,,
283 ,false,,,false,,,,,,,,,
284 ,false,,,false,,,,,,,,,
285 ,false,,,false,,,,,,,,,
286 ,false,,,TRUE,2,4,,,,,,,
287 ,false,,,false,,,,,,,,,
288 ,false,,,false,,,,,,,,,
289 ,false,,,false,,,,,,,,,
290 ,false,,,false,,,,,,,,,
291 ,false,,,false,,,,,,,,,
292 ,false,,,false,,,,,,,,,
293 ,false,,,TRUE,3,4,,,,,,,
294 ,false,,,false,,,,,,,,,
295 ,false,,,false,,,,,,,,,
296 ,false,,,false,,,,,,,,,
297 ,false,,,false,,,,,,,,,
298 ,false,,,false,,,,,,,,,
299 ,false,,,false,,,,,,,,,
300 ,false,,,TRUE,4,4,,,,,,,
301 ,false,,,false,,,,,,,,,
302 ,false,,,false,,,,,,,,,
303 ,false,,,false,,,,,,,,,
304 ,TRUE,1,1,false,,,,,,,,,
305 ,false,,,false,,,,,,,,,
306 ,TRUE,2,1,false,,,,,,,,,
307 ,false,,,false,,,,,,,,,
308 ,TRUE,3,1,false,,,,,,,,,
309 ,false,,,false,,,,,,,,,
310 ,TRUE,4,1,false,,,,,,,,,
311 ,false,,,false,,,,,,,,,
312 ,TRUE,1,1,false,,,,,,,,,
313 ,false,,,false,,,,,,,,,
314 ,TRUE,2,1,false,,,,,,,,,
315 ,false,,,false,,,,,,,,,
316 ,TRUE,3,1,false,,,,,,,,,
317 ,false,,,false,,,,,,,,,
318 ,TRUE,4,1,false,,,,,,,,,
319 ,false,,,false,,,,,,,,,
320 ,TRUE,14,1,false,,,,,,,,,
321 ,false,,,false,,,,,,,,,
322 ,TRUE,23,1,false,,,,,,,,,
323 ,false,,,false,,,,,,,,,
324 ,TRUE,14,1,false,,,,,,,,,
325 ,false,,,false,,,,,,,,,
326 ,TRUE,23,1,false,,,,,,,,,
327 ,false,,,false,,,,,,,,,
328 ,TRUE,1234,1,false,,,,,,,,,
329 ,false,,,false,,,,,,,,,
330 ,TRUE,1,2,false,,,,,,,,,
331 ,false,,,false,,,,,,,,,
332 ,TRUE,2,2,false,,,,,,,,,
333 ,false,,,false,,,,,,,,,
334 ,TRUE,3,2,false,,,,,,,,,
335 ,false,,,false,,,,,,,,,
336 ,TRUE,4,2,false,,,,,,,,,
337 ,false,,,false,,,,,,,,,
338 ,TRUE,1,2,false,,,,,,,,,
339 ,false,,,false,,,,,,,,,
340 ,TRUE,2,2,false,,,,,,,,,
341 ,false,,,false,,,,,,,,,
342 ,TRUE,3,2,false,,,,,,,,,
343 ,false,,,false,,,,,,,,,
344 ,TRUE,4,2,false,,,,,,,,,
345 ,false,,,false,,,,,,,,,
346 ,TRUE,14,2,false,,,,,,,,,
347 ,false,,,false,,,,,,,,,
348 ,TRUE,23,2,false,,,,,,,,,
349 ,false,,,false,,,,,,,,,
350 ,TRUE,14,2,false,,,,,,,,,
351 ,false,,,false,,,,,,,,,
352 ,TRUE,23,2,false,,,,,,,,,
353 ,false,,,false,,,,,,,,,
354 ,TRUE,1234,2,false,,,,,,,,,
355 ,false,,,false,,,,,,,,,
356 ,TRUE,1,3,false,,,,,,,,,
357 ,false,,,false,,,,,,,,,
358 ,TRUE,2,3,false,,,,,,,,,
359 ,false,,,false,,,,,,,,,
360 ,TRUE,3,3,false,,,,,,,,,
361 ,false,,,false,,,,,,,,,
362 ,TRUE,4,3,false,,,,,,,,,
363 ,false,,,false,,,,,,,,,
364 ,TRUE,1,3,false,,,,,,,,,
365 ,false,,,false,,,,,,,,,
366 ,TRUE,2,3,false,,,,,,,,,
367 ,false,,,false,,,,,,,,,
368 ,TRUE,3,3,false,,,,,,,,,
369 ,false,,,false,,,,,,,,,
370 ,TRUE,4,3,false,,,,,,,,,
371 ,false,,,false,,,,,,,,,
372 ,TRUE,14,3,false,,,,,,,,,
373 ,false,,,false,,,,,,,,,
374 ,TRUE,23,3,false,,,,,,,,,
375 ,false,,,false,,,,,,,,,
376 ,TRUE,14,3,false,,,,,,,,,
377 ,false,,,false,,,,,,,,,
378 ,TRUE,23,3,false,,,,,,,,,
379 ,false,,,false,,,,,,,,,
380 ,TRUE,1234,3,false,,,,,,,,,
381 ,false,,,false,,,,,,,,,
382 ,TRUE,1,2,false,,,,,,,,,
383 ,false,,,false,,,,,,,,,
384 ,TRUE,2,2,false,,,,,,,,,
385 ,false,,,false,,,,,,,,,
386 ,TRUE,3,2,false,,,,,,,,,
387 ,false,,,false,,,,,,,,,
388 ,TRUE,4,2,false,,,,,,,,,
389 ,false,,,false,,,,,,,,,
390 ,TRUE,1,2,false,,,,,,,,,
391 ,false,,,false,,,,,,,,,
392 ,TRUE,2,2,false,,,,,,,,,
393 ,false,,,false,,,,,,,,,
394 ,TRUE,3,2,false,,,,,,,,,
395 ,false,,,false,,,,,,,,,
396 ,TRUE,4,2,false,,,,,,,,,
397 ,false,,,false,,,,,,,,,
398 ,TRUE,14,2,false,,,,,,,,,
399 ,false,,,false,,,,,,,,,
400 ,TRUE,23,2,false,,,,,,,,,
401 ,false,,,false,,,,,,,,,
402 ,TRUE,14,2,false,,,,,,,,,
403 ,false,,,false,,,,,,,,,
404 ,TRUE,23,2,false,,,,,,,,,
405 ,false,,,false,,,,,,,,,
406 ,TRUE,1234,2,false,,,,,,,,,
407 ,false,,,false,,,,,,,,,
408 ,TRUE,1,1,false,,,,,,,,,
409 ,false,,,false,,,,,,,,,
410 ,TRUE,2,1,false,,,,,,,,,
411 ,false,,,false,,,,,,,,,
412 ,TRUE,3,1,false,,,,,,,,,
413 ,false,,,false,,,,,,,,,
414 ,TRUE,4,1,false,,,,,,,,,
415 ,false,,,false,,,,,,,,,
416 ,false,,,false,,,,,,,,,
417 ,false,,,false,,,,,,,,,
418 ,false,,,false,,,,,,,,,
419 ,false,,,false,,,,,,,,,
420 ,false,,,false,,,,,,,,,
421 ,false,,,false,,,,,,,,,
422 ,false,,,false,,,,,,,,,
423 ,false,,,false,,,,,,,,,
424 ,false,,,false,,,,,,,,,
425 ,false,,,false,,,,,,,,,
426 ,false,,,false,,,,,,,,,
427 ,false,,,false,,,,,,,,,
428 ,false,,,false,,,,,,,,,
429 ,false,,,false,,,,,,,,,
430 ,false,,,false,,,,,,,,,
431 ,false,,,false,,,,,,,,,
432 ,false,,,false,,,,,,,,,
433 ,false,,,false,,,,,,,,,
434 ,false,,,false,,,,,,,,,
435 ,false,,,false,,,,,,,,,
436 ,false,,,false,,,,,,,,,
437 ,false,,,false,,,,,,,,,
